budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2557,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,0,0,0,4615,58,0,0,0,0,20,0,0,0,13.0,272,11,1,6,254,575,309,0,0,0,178,0,0,88,0,0,0,0,0,0,0,0,139,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,15704,0.0,0.02,0.0,0,0,0,5,1.22,27,27,100.0,3,3,100.0,24,24,100.0
2557,05,ปปส.ภาค 5,50,เชียงใหม่,0,0,0,52273,304,0,0,0,0,137,0,0,0,42.0,2138,334,136,469,1199,9212,4337,0,0,0,3918,0,0,957,0,0,0,0,0,0,0,0,7102,7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,1770,4291065,15.6,1.59,1.9,0,0,0,99,201.37,221,166,75.11,52,35,67.31,169,131,77.51
2557,05,ปปส.ภาค 5,57,เชียงราย,0,0,0,35514,227,0,0,0,0,126,0,0,0,15.0,1784,445,111,257,971,7802,3077,0,0,0,4488,0,0,237,0,0,0,0,0,0,0,0,5495,5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,740,15280045,39.16,10.48,31.08,0,0,0,80,62.24,122,73,59.84,23,11,47.83,99,62,62.63
2557,05,ปปส.ภาค 5,55,น่าน,0,0,0,13358,127,0,0,0,0,44,0,0,0,54.0,806,118,75,110,503,1402,516,0,0,0,596,0,0,290,0,0,0,0,0,0,0,0,1133,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,256,89845,0.0,0.78,0.0,0,0,0,24,3.49,91,67,73.63,20,13,65.0,71,54,76.06
2557,05,ปปส.ภาค 5,51,ลำพูน,0,0,0,7487,59,0,0,0,0,206,0,0,0,23.0,591,71,28,123,369,1365,668,0,0,0,549,0,0,148,0,0,0,0,0,0,0,0,1069,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,467,1367691,0.03,2.58,0.07,0,0,0,19,2.75,58,48,82.76,14,11,78.57,44,37,84.09
2557,05,ปปส.ภาค 5,52,ลำปาง,0,0,0,18269,123,0,0,0,0,46,0,0,0,72.0,1030,171,57,211,591,3148,1436,0,0,0,1183,0,0,529,0,0,0,0,0,0,0,0,1611,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,515,1960378,1.99,0.09,0.8,0,0,0,36,8.22,176,111,63.07,33,18,54.55,143,93,65.03
2557,05,ปปส.ภาค 5,56,พะเยา,0,0,0,11840,95,0,0,0,0,90,0,0,0,10.0,484,48,69,110,257,2469,1354,0,0,0,1015,0,0,100,0,0,0,0,0,0,0,0,1658,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,404,374953,0.04,0.82,58.0,0,0,0,36,5.82,51,39,76.47,5,2,40.0,46,37,80.43
2557,06,ปปส.ภาค 6,64,สุโขทัย,0,0,0,16536,107,0,0,0,0,135,0,0,0,20.0,864,104,74,206,480,1686,761,0,0,0,814,0,0,111,0,0,0,0,0,0,0,0,2149,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,561,114644,0.46,1.59,0.0,0,0,0,46,5.76,96,88,91.67,24,22,91.67,72,66,91.67
2557,06,ปปส.ภาค 6,53,อุตรดิตถ์,0,0,0,13220,77,0,0,0,0,107,0,0,0,81.0,643,123,45,100,375,1952,908,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,1912,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,436,101081,0.0,8.56,0.0,0,0,0,21,4.62,123,108,87.8,21,20,95.24,102,88,86.27
2557,06,ปปส.ภาค 6,62,กำแพงเพชร,0,0,0,25385,141,0,0,0,0,155,0,0,0,15.0,660,33,5,19,603,3578,1758,0,0,0,1475,0,0,345,0,0,0,0,0,0,0,0,3450,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,1057,102210,1.09,27.43,0.0,0,0,0,57,13.49,108,100,92.59,15,14,93.33,93,86,92.47
