ปีงบประมาณ,จำนวนคดียาเสพติดทั้งหมด(คดี),จำนวนผู้ต้องหาทั้งหมด(คน),ปริมาณยาบ้า(เม็ด),ปริมาณกัญชา(กิโลกรัม),ปริมาณไอซ์(กิโลกรัม),ปริมาณเฮโรอีน(กิโลกรัม),ปริมาณโคเคน(กิโลกรัม),ปริมาณคีตามีน(กิโลกรัม),ปริมาณยาอี(กิโลกรัม),จำนวนผู้เข้าบำบัดฟื้นฟูผู้เสพ/ผู้ติดทั้งหมด(ราย),จำนวนผู้เข้าบำบัดระบบสมัครใจ(ราย),จำนวนผู้เข้าบำบัดระบบบังคับ(ราย),จำนวนผู้เข้าบำบัดระบบต้องโทษ(ราย),จำนวนผู้ผ่านการบำบัดที่ได้รับการติดตามทั้งหมด(ราย),จำนวนผู้ผ่านการบำบัดที่สามารถให้ความช่วยเหลือ(ราย),จำนวนเด็กปฐมวัยที่ได้รับสื่อการสอนเพื่อพัฒนาทักษะสมอง(EF)(คน),จำนวนนักเรียน ป.1 - ป.6 ที่สร้างภูมิคุ้มกันฯ(คน),จำนวนนักเรียน นักศึกษาที่มีกิจกรรมป้องกัน (คน),จำนวนเด็ก/เยาวชนนอกสถานศึกษาที่มีกิจกรรมช่วยเหลือคุ้มครองและดูแล (คน),จำนวนลูกจ้างในสถานประกอบการตั้งแต่ 10 คน ขึ้นไป (คน),จำนวนลูกจ้างในสถานประกอบการต่ำกว่า 10 คน (คน),จำนวนหมู้บ้าน/ชุมชนทั้งหมด (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดมาก (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดปานกลาง (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่มีปัญหายาเสพติดน้อย (แห่ง),จำนวนหมู้บ้าน/ชุมชนที่ไม่มีปัญหายาเสพติด (แห่ง),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (เรื่อง),เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติดทั้งหมด (%),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (เรื่อง) ,เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด พื้นที่ (%),เรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (เรื่อง),การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (เรื่อง),เปอร์เซ็นต์การดำเนินการต่อเรื่องร้องเรียนและแจ้งเบาะแสยาเสพติด บุคคล (%)
2551,133522,163584,10612996,15353.79,506.74,19.68,0.0,0.0,0.0,104388,23327,69707,11354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2552,151240,161919,12075696,7270.94,100.73,4.74,0.0,0.0,0.0,132051,29510,86484,16057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2553,191252,204082,35185330,16057.85,605.32,425.62,0.0,0.0,0.0,146254,29697,100752,15805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2554,319144,337435,49778107,10826.96,1256.16,179.97,26.77,0.0,0.0,206195,40593,149090,16512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8404.0,1864.0,22.18,2918.0,380.0,13.02,4808.0,1481.0,30.8
2555,353792,373386,77018469,13604.61,2285.09,256.01,21.59,0.0,0.0,336877,165082,150387,21408,232646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19181.0,12785.0,66.65,8457.0,5240.0,61.96,10723.0,7545.0,70.36
2556,422566,441814,126038948,28717.3,2091.89,765.59,0.06,0.0,0.0,338096,137779,174726,25591,326159.0,0.0,0.0,1396753.0,4063267.0,0.0,0.0,0.0,78925.0,3447.0,0.0,0.0,17905.0,17332.0,13238.0,76.38,6984.0,5235.0,74.96,10347.0,8003.0,77.35
2557,347028,365918,96155912,28104.54,1073.6,497.26,0.0,0.0,0.0,251287,84312,145980,20995,344777.0,0.0,0.0,1919951.0,3166024.0,31965.0,0.0,52571.0,76749.0,9433.0,6064.0,13584.0,47668.0,15528.0,11413.0,73.5,4886.0,3482.0,71.26,10642.0,7931.0,74.53
2558,264974,284499,87456206,22927.82,1442.05,179.24,33.68,0.0,0.0,214965,103361,91306,20298,260627.0,10997.0,0.0,3782377.0,4369562.0,12340.0,0.0,300861.0,75884.0,7668.0,6925.0,17925.0,44749.0,13417.0,10286.0,76.66,3551.0,2508.0,70.63,9866.0,7778.0,78.84
2559,223247,249109,93737695,8439.82,1161.03,147.49,48.48,30.91734,0.0,180881,107673,54172,19036,182636.0,4606.0,0.0,3863136.0,3771329.0,55402.0,58865.0,1467943.0,74692.0,7258.0,5657.0,15281.0,46496.0,12091.0,12091.0,100.0,2519.0,2519.0,100.0,9572.0,9572.0,100.0
2560,261112,287238,214929485,13797.4638,5200.75426,376.56795,45.45418,658.38667,0.0,195767,112631,57222,25914,174729.0,8271.0,1244993.0,4013183.0,3237900.0,204232.0,89760.0,1390893.0,79113.0,6660.0,6207.0,16628.0,49618.0,13317.0,13316.0,99.99,2589.0,2589.0,100.0,10727.0,10727.0,100.0
